"","Player","Age","Minutes.Played","Field.goal.perc","Three.points.perc","Two.points.perc","Free.Throw.perc","Rebounds","Asists","Steals","Blocks","Turnovers","Personal.fouls","Points"
"1","Steven Adams",25,33.4,0.595,0,0.596,0.5,9.5,1.6,1.5,1,1.7,2.6,13.9
"2","LaMarcus Aldridge",33,33.2,0.519,0.238,0.528,0.847,9.2,2.4,0.5,1.3,1.8,2.2,21.3
"3","Giannis Antetokounmpo",24,32.8,0.578,0.256,0.641,0.729,12.5,5.9,1.3,1.5,3.7,3.2,27.7
"4","Trevor Ariza",33,34,0.399,0.334,0.493,0.793,5.4,3.7,1.3,0.3,1.5,1.9,12.5
"5","Deandre Ayton",20,30.7,0.585,0,0.588,0.746,10.3,1.8,0.9,0.9,1.8,2.9,16.3
"6","Lonzo Ball",21,30.3,0.406,0.329,0.482,0.417,5.3,5.4,1.5,0.4,2.2,2.4,9.9
"7","Harrison Barnes",26,32.9,0.42,0.395,0.439,0.824,4.7,1.5,0.6,0.2,1.3,1.6,16.4
"8","Nicolas Batum",30,31.4,0.45,0.389,0.519,0.865,5.2,3.3,0.9,0.6,1.6,1.9,9.3
"9","Bradley Beal",25,36.9,0.475,0.351,0.548,0.808,5,5.5,1.5,0.7,2.7,2.8,25.6
"10","Bojan Bogdanovi?",29,31.8,0.497,0.425,0.538,0.807,4.1,2,0.9,0,1.7,1.7,18
"11","Devin Booker",22,35,0.467,0.326,0.536,0.866,4.1,6.8,0.9,0.2,4.1,3.1,26.6
"12","Avery Bradley",28,30.2,0.408,0.351,0.446,0.86,2.8,2.4,0.7,0.3,1.4,2.7,9.9
"13","Jimmy Butler",29,33.6,0.462,0.347,0.494,0.855,5.3,4,1.9,0.6,1.5,1.7,18.7
"14","Clint Capela",24,33.6,0.648,NA,0.648,0.636,12.7,1.4,0.7,1.5,1.4,2.5,16.6
"15","John Collins",21,30,0.56,0.348,0.609,0.763,9.8,2,0.4,0.6,2,3.3,19.5
"16","Mike Conley",31,33.5,0.438,0.364,0.483,0.845,3.4,6.4,1.3,0.3,1.9,1.8,21.1
"17","Robert Covington",28,34.4,0.431,0.378,0.518,0.764,5.5,1.3,2.1,1.3,1.3,3.6,13.3
"18","Stephen Curry",30,33.8,0.472,0.437,0.525,0.916,5.3,5.2,1.3,0.4,2.8,2.4,27.3
"19","Anthony Davis",25,33,0.517,0.331,0.547,0.794,12,3.9,1.6,2.4,2,2.4,25.9
"20","DeMar DeRozan",29,34.9,0.481,0.156,0.492,0.83,6,6.2,1.1,0.5,2.6,2.3,21.2
